name,link
Chicken Tikka Masala,https://www.food.com/recipe/chicken-tikka-masala-25587
Naan,https://www.food.com/recipe/naan-203261
Chicken Curry,https://www.food.com/recipe/chicken-curry-in-a-hurry-29301
Aloo Gobi,https://www.food.com/recipe/aloo-gobi-84324
Crock Pot Chicken Vindaloo,https://www.food.com/recipe/crock-pot-chicken-vindaloo-24139
Sweet Potato Curry With Spinach and Chickpeas,https://www.food.com/recipe/sweet-potato-curry-with-spinach-and-chickpeas-84474
Channa Masala,https://www.food.com/recipe/channa-masala-17471
Chicken Makhani (Indian Butter Chicken),https://www.food.com/recipe/chicken-makhani-indian-butter-chicken-97573
Spicy Shrimp Coconut Milk,https://www.food.com/recipe/spicy-shrimp-in-coconut-milk-22164
Palak Paneer (Indian Fresh Spinach With Paneer Cheese),https://www.food.com/recipe/palak-paneer-indian-fresh-spinach-with-paneer-cheese-25348
"Chicken, Rice, and Spices Bake",https://www.food.com/recipe/chicken-rice-and-spices-bake-105104
Indian Butter Chicken,https://www.food.com/recipe/indian-butter-chicken-86753
Curry Chicken,https://www.food.com/recipe/curry-chicken-81591
Super Easy Naan Bread,https://www.food.com/recipe/super-easy-naan-bread-350443
Cashew Chicken Curry,https://www.food.com/recipe/cashew-chicken-curry-120810
Chole,https://www.food.com/recipe/i-cant-wait-for-chole-25632
Pita Bread,https://www.food.com/recipe/pita-bread-16831
Tandoori Style Chicken,https://www.food.com/recipe/tandoori-style-chicken-83276
Chickpea Curry (Garbanzos),https://www.food.com/recipe/chickpea-curry-garbanzos-25360
Curried Chickpeas and Black Beans-Low Fat,https://www.food.com/recipe/curried-chickpeas-and-black-beans-low-fat-73679
Dal Curry (curried lentils),https://www.food.com/recipe/carols-dal-curry-curried-lentils-8935
Indian Lamb Curry,https://www.food.com/recipe/indian-lamb-curry-27864
Crescent Samosa,https://www.food.com/recipe/easy-crescent-samosa-indian-style-sandwiches-26958
Indian Samosa,https://www.food.com/recipe/indian-samosa-15348
Lentil Dal,https://www.food.com/recipe/lentil-dal-456
Indian Spiced Rice,https://www.food.com/recipe/indian-spiced-rice-21855
Indian Lentil Soup (Dal Shorva),https://www.food.com/recipe/indian-lentil-soup-dal-shorva-132397
Aloo Palak (Indian Potatoes & Spinach),https://www.food.com/recipe/aloo-palak-indian-potatoes-spinach-108787
Butter Chicken,https://www.food.com/recipe/butter-chicken-22525
Tandoori Chicken,https://www.food.com/recipe/restaurant-style-tandoori-chicken-in-the-oven-327824
Chickpeas and Rice,https://www.food.com/recipe/chickpeas-and-rice-195593
Indian Cucumber Salad,https://www.food.com/recipe/indian-cucumber-salad-172618
Leftover Lamb Curry,https://www.food.com/recipe/leftover-lamb-curry-102312
Mattar Paneer,https://www.food.com/recipe/mattar-paneer-85853
Chicken Vindaloo,https://www.food.com/recipe/chicken-vindaloo-177572
Indian Butter Chicken,https://www.food.com/recipe/restaurant-style-indian-butter-chicken-chicken-makhani-206608
Aloo Gobi - Cauliflower and Potatoes,https://www.food.com/recipe/aloo-gobi-cauliflower-and-potatoes-17382
Ginger Yogurt,https://www.food.com/recipe/ginger-yogurt-172725
"Lentils, garlic and tomatoes",https://www.food.com/recipe/lentils-garlic-and-tomatoes-16666
Saag Chicken,https://www.food.com/recipe/saag-chicken-100674
Broccoli Dal Curry,https://www.food.com/recipe/broccoli-dal-curry-76768
Naan Bread,https://www.food.com/recipe/madhur-jaffreys-naan-bread-446809
Creamy Chickpea Curry,https://www.food.com/recipe/creamy-chickpea-curry-205289
Black-Eyed Pea Masala,https://www.food.com/recipe/black-eyed-pea-masala-116878
Easy Naan (Bread Machine),https://www.food.com/recipe/easy-naan-bread-machine-41503
Curried Poached Eggs,https://www.food.com/recipe/curried-poached-eggs-24685
Coriander Lemon Chicken,https://www.food.com/recipe/coriander-lemon-chicken-57908
American Indian Fry Bread,https://www.food.com/recipe/american-indian-fry-bread-50765
masala chai (indian spiced tea),https://www.food.com/recipe/masala-chai-indian-spiced-tea-65265
Traditional Naan Bread,https://www.food.com/recipe/naan-56245
Coconut muffins,https://www.food.com/recipe/coconut-muffins-46949
Aloo Matar Ka Pulao ( Indian Rice With Potatoes and Peas ),https://www.food.com/recipe/aloo-matar-ka-pulao-indian-rice-with-potatoes-and-peas-172775
Saffron Rice,https://www.food.com/recipe/saffron-rice-55617
Tikka Masala,https://www.food.com/recipe/gordon-ramsays-tikka-masala-346344
Cabbage and Potato Fry,https://www.food.com/recipe/cabbage-and-potato-fry-104861
Grilled Chicken Tikka,https://www.food.com/recipe/grilled-chicken-tikka-92494
Indian Kadai Chicken,https://www.food.com/recipe/indian-kadai-chicken-72321
Indian Rice Pudding,https://www.food.com/recipe/indian-rice-pudding-130055
Chicken Korma,https://www.food.com/recipe/chicken-korma-13000
Garbanzo Beans (Chole),https://www.food.com/recipe/garbanzo-beans-chole-91128
Low Fat Red Pepper Hummus,https://www.food.com/recipe/low-fat-red-pepper-hummus-69639
Naan (Indian Flat Bread),https://www.food.com/recipe/naan-indian-flat-bread-60449
West Indian Pumpkin Soup,https://www.food.com/recipe/west-indian-pumpkin-soup-80044
Brinjal (Eggplant) Curry,https://www.food.com/recipe/brinjal-eggplant-curry-239485
Indian Masala Chai,https://www.food.com/recipe/indian-masala-chai-190932
Easy Pilau Rice,https://www.food.com/recipe/easy-pilau-rice-55802
Pineapple Fried Rice from Cooked (Leftover) Rice and Chicken,https://www.food.com/recipe/pineapple-fried-rice-from-cooked-leftover-rice-and-chicken-28005
Chicken Curry,https://www.food.com/recipe/moms-chicken-curry-231908
Easy Mango Chicken,https://www.food.com/recipe/easy-mango-chicken-18663
Cardamom Lassi,https://www.food.com/recipe/cardamom-lassi-172508
Pumpkin Curry,https://www.food.com/recipe/pumpkin-curry-45441
Bread Machine Naan,https://www.food.com/recipe/bread-machine-naan-98512
Mattar Paneer - Indian Peas with Paneer Cheese,https://www.food.com/recipe/mattar-paneer-indian-peas-with-paneer-cheese-82641
Beef Keema,https://www.food.com/recipe/beef-keema-76665
Tandoori  Sweet Potatoes,https://www.food.com/recipe/tasty-tandoori-sweet-potatoes-415193
Chicken Thighs with Lime and Curry,https://www.food.com/recipe/chicken-thighs-with-lime-and-curry-29920
Mango Chutney,https://www.food.com/recipe/mango-chutney-23146
Lamb Curry,https://www.food.com/recipe/lamb-curry-22275
No-yeast Naan bread,https://www.food.com/recipe/no-yeast-naan-bread-21155
Indian Sunflower Cookies,https://www.food.com/recipe/indian-sunflower-cookies-168867
Rogan Josh,https://www.food.com/recipe/rogan-josh-211487
Hot Madras Curry Powder,https://www.food.com/recipe/hot-madras-curry-powder-174350
Gajar Halva (Carrot Pudding  -  an Indian Dessert),https://www.food.com/recipe/gajar-halva-carrot-pudding-an-indian-dessert-101085
Egg Curry,https://www.food.com/recipe/egg-curry-87845
Kashmir Lamb With Spinach,https://www.food.com/recipe/kashmir-lamb-with-spinach-96621
Indian Chicken Curry,https://www.food.com/recipe/indian-chicken-curry-86397
Vegetable Korma,https://www.food.com/recipe/vegetable-korma-83491
Fruit Lassi,https://www.food.com/recipe/fruit-lassi-63356
Chicken Tikka Masala,https://www.food.com/recipe/angelas-chicken-tikka-masala-58584
Cucumber Raita,https://www.food.com/recipe/cucumber-raita-47590
Chicken Curry,https://www.food.com/recipe/chicken-curry-27383
Saffron Chicken,https://www.food.com/recipe/saffron-chicken-21607
Carrot Rice with Peanuts,https://www.food.com/recipe/carrot-rice-with-peanuts-15656
Slow Cooker Chicken Tikka Masala,https://www.food.com/recipe/slow-cooker-chicken-tikka-masala-484232
Spicy Chicken,https://www.food.com/recipe/spicy-chicken-47156
Just Right Spinach & Chickpea Curry (Vegan) - Chole Palak,https://www.food.com/recipe/just-right-spinach-chickpea-curry-vegan-chole-palak-397640
Soft Bread Machine Naan,https://www.food.com/recipe/bread-machine-naan-270882
Oil Pastry,https://www.food.com/recipe/perfect-oil-pastry-171806
Spiced Indian Cabbage,https://www.food.com/recipe/spiced-indian-cabbage-161212
Spicy Indian Grilled Chicken,https://www.food.com/recipe/spicy-indian-grilled-chicken-123287
Indian Fry Bread,https://www.food.com/recipe/indian-fry-bread-117388
Shrimp Vindaloo,https://www.food.com/recipe/shrimp-vindaloo-92346
Balti Butter Chicken,https://www.food.com/recipe/balti-butter-chicken-8984
Nutty Basmati Pilaf,https://www.food.com/recipe/nutty-basmati-pilaf-57609
Butternut Squash Coconut Curry,https://www.food.com/recipe/butternut-squash-coconut-curry-391281
Aloo Matar,https://www.food.com/recipe/aloo-matar-220883
Ground Lamb,https://www.food.com/recipe/nordic-moon-ranchs-most-excellent-ground-lamb-101018
Indian Spiced Omelet,https://www.food.com/recipe/indian-spiced-omelet-98927
Palak Paneer,https://www.food.com/recipe/i-love-palak-paneer-spinach-and-cheese-curry-383454
Easy Chicken Tandoori,https://www.food.com/recipe/easy-chicken-tandoori-38203
Mini Garlic Naan,https://www.food.com/recipe/mini-garlic-naan-140376
Chai Oatmeal,https://www.food.com/recipe/chai-oatmeal-128959
Kheer,https://www.food.com/recipe/kheer-the-worlds-yummiest-one-57247
Pineapple Ghost Chili Sauce,https://www.food.com/recipe/pineapple-ghost-chili-sauce-438373
Spicy Lentil Soup,https://www.food.com/recipe/have-mercy-on-me-spicy-lentil-soup-with-crock-pot-instructions-264839
Indian Beef Madras Curry,https://www.food.com/recipe/indian-beef-madras-curry-259669
Cauliflower Curry,https://www.food.com/recipe/cauliflower-curry-24856
The Best Biryani,https://www.food.com/recipe/the-best-biryani-177830
Samosas,https://www.food.com/recipe/samosas-117455
Cashew Chicken Fingers With Curry Mayonnaise,https://www.food.com/recipe/cashew-chicken-fingers-with-curry-mayonnaise-116491
Rogan Josh Stew,https://www.food.com/recipe/rogan-josh-6584
Phall (The Hottest Curry of All!),https://www.food.com/recipe/phall-the-hottest-curry-of-all-61187
Spicy Chai Tea,https://www.food.com/recipe/spicy-chai-tea-47605
Saffron Rice,https://www.food.com/recipe/saffron-rice-47592
Mango Peach Chutney,https://www.food.com/recipe/mango-peach-chutney-47554
Ghost Pepper Jelly!,https://www.food.com/recipe/ghost-pepper-jelly-438888
Spicy Indian Beef Curry,https://www.food.com/recipe/spicy-indian-beef-curry-351311
Masala Omelett,https://www.food.com/recipe/nigellas-masala-omelett-350836
Easy Curried Yellow Dal (Yellow Split Peas),https://www.food.com/recipe/easy-curried-yellow-dal-yellow-split-peas-313513
Pearl (Israeli) Couscous With Garam Masala and Pine Nuts,https://www.food.com/recipe/pearl-israeli-couscous-with-garam-masala-and-pine-nuts-278742
Indian Chana Masala,https://www.food.com/recipe/indian-chana-masala-266068
Indian Saag Paneer (Low Fat Cheese With Spinach),https://www.food.com/recipe/indian-saag-paneer-low-fat-cheese-with-spinach-247686
Indian Chicken Makhani,https://www.food.com/recipe/chicken-makhani-indian-butter-chicken-234639
Chicken Curry,https://www.food.com/recipe/chicken-curry-159
Baked Fish/ Cod Tomato sauce,https://www.food.com/recipe/baked-king-fish-cod-in-tomato-sauce-86892
Akoori - Scrambled Eggs (Parsi),https://www.food.com/recipe/akoori-scrambled-eggs-parsi-82546
Indian-Style Potatoes - Khatta Aloo,https://www.food.com/recipe/indian-style-potatoes-khatta-aloo-61826
Soft Gluten Free Naan Bread (Indian Flatbread),https://www.food.com/recipe/soft-gluten-free-naan-bread-indian-flatbread-499068
